No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
79;5,041771;;5,041771;5,043651;0,00188;;0,012259;-0,013454;-0,025713
80;5,043651;;5,043651;5,05779;0,014139;;-0,013454;-0,000633;0,012821
81;5,05779;;5,05779;5,058475;0,000685;;-0,000633;0,0002;0,000833
82;5,058475;;5,058475;5,058527;5,2E-05;;0,0002;-9,7E-05;-0,000297
83;5,058527;;5,058527;5,058779;0,000252;;-9,7E-05;0,00012;0,000217
84;5,058779;;5,058779;5,058934;0,000155;;0,00012;-0,000275;-0,000395
85;5,058934;;5,058934;5,059209;0,000275;;-0,000275;0,007808;0,008083
86;5,059209;;5,059209;5,059209;0;;0,007808;-0,000353;-0,008161
87;5,059209;;5,059209;5,067017;0,007808;;-0,000353;-0,006218;-0,005865
88;5,067017;;5,067017;5,074472;0,007455;;-0,006218;-0,001237;0,004981
89;5,074472;;5,074472;5,075709;0,001237;;-0,001237;0,000745;0,001982
90;5,075709;;5,075709;5,075709;0;;0,000745;-0,000456;-0,001201
91;5,075709;;5,075709;5,076454;0,000745;;-0,000456;0,00039;0,000846
92;5,076454;;5,076454;5,076743;0,000289;;0,00039;-0,000591;-0,000981
93;5,076743;;5,076743;5,077422;0,000679;;-0,000591;0,001986;0,002577
94;5,077422;;5,077422;5,07751;8,8E-05;;0,001986;0,001922;-6,4E-05
95;5,07751;;5,07751;5,079584;0,002074;;0,001922;0,039459;0,037537
96;5,079584;;5,079584;5,08358;0,003996;;0,039459;-0,043274;-0,082733
97;5,08358;;5,08358;5,127035;0,043455;;-0,043274;0,000575;0,043849
98;5,127035;;5,127035;5,127216;0,000181;;0,000575;-0,000756;-0,001331
99;5,127216;;5,127216;5,127972;0,000756;;-0,000756;0;0,000756
100;5,127972;;5,127972;5,127972;0;;0;0;0
101;5,127972;;5,127972;5,127972;0;;0;0;0
102;5,127972;;5,127972;5,127972;0;;0;0;0
103;5,127972;;5,127972;5,127972;0;;0;0;0
104;5,127972;;5,127972;5,127972;0;;0;0;0
105;5,127972;;5,127972;5,127972;0;;0;0;0
106;5,127972;;5,127972;5,127972;0;;0;7,2E-05;7,2E-05
107;5,127972;;5,127972;5,127972;0;;7,2E-05;0,016508;0,016436
108;5,127972;;5,127972;5,128044;7,2E-05;;0,016508;-0,016476;-0,032984
109;5,128044;;5,128044;5,144624;0,01658;;-0,016476;0,000532;0,017008
110;5,144624;;5,144624;5,144728;0,000104;;0,000532;-0,000636;-0,001168
111;5,144728;;5,144728;5,145364;0,000636;;-0,000636;0;0,000636
112;5,145364;;5,145364;5,145364;0;;0;7,8E-05;7,8E-05
113;5,145364;;5,145364;5,145364;0;;7,8E-05;0,000547;0,000469
114;5,145364;;5,145364;5,145442;7,8E-05;;0,000547;-0,000625;-0,001172
115;5,145442;;5,145442;5,146067;0,000625;;-0,000625;0;0,000625
116;5,146067;;5,146067;5,146067;0;;0;0;0
117;5,146067;;5,146067;5,146067;0;;0;0;0
118;5,146067;;5,146067;5,146067;0;;0;0;0
119;5,146067;;5,146067;5,146067;0;;0;6,7E-05;6,7E-05
120;5,146067;;5,146067;5,146067;0;;6,7E-05;0,016801;0,016734
121;5,146067;;5,146067;5,146134;6,7E-05;;0,016801;-0,01675;-0,033551
122;5,146134;;5,146134;5,163002;0,016868;;-0,01675;0,00052;0,01727
123;5,163002;;5,163002;5,16312;0,000118;;0,00052;-0,000638;-0,001158
124;5,16312;;5,16312;5,163758;0,000638;;-0,000638;0;0,000638
125;5,163758;;5,163758;5,163758;0;;0;0;0
126;5,163758;;5,163758;5,163758;0;;0;0;0
127;5,163758;;5,163758;5,163758;0;;0;0;0
128;5,163758;;5,163758;5,163758;0;;0;0;0
129;5,163758;;5,163758;5,163758;0;;0;4,7E-05;4,7E-05
130;5,163758;;5,163758;5,163758;0;;4,7E-05;0,000607;0,00056
131;5,163758;;5,163758;5,163805;4,7E-05;;0,000607;-0,000654;-0,001261
132;5,163805;;5,163805;5,164459;0,000654;;-0,000654;0;0,000654
133;5,164459;;5,164459;5,164459;0;;0;2,9E-05;2,9E-05
134;5,164459;;5,164459;5,164459;0;;2,9E-05;7E-06;-2,2E-05
135;5,164459;;5,164459;5,164488;2,9E-05;;7E-06;-8E-06;-1,5E-05
136;5,164488;;5,164488;5,164524;3,6E-05;;-8E-06;0,01616;0,016168
137;5,164524;;5,164524;5,164552;2,8E-05;;0,01616;-0,016134;-0,032294
138;5,164552;;5,164552;5,18074;0,016188;;-0,016134;0,000632;0,016766
139;5,18074;;5,18074;5,180794;5,4E-05;;0,000632;-0,000686;-0,001318
140;5,180794;;5,180794;5,18148;0,000686;;-0,000686;0;0,000686
141;5,18148;;5,18148;5,18148;0;;0;0;0
142;5,18148;;5,18148;5,18148;0;;0;0;0
143;5,18148;;5,18148;5,18148;0;;0;0;0
144;5,18148;;5,18148;5,18148;0;;0;0;0
145;5,18148;;5,18148;5,18148;0;;0;7,7E-05;7,7E-05
146;5,18148;;5,18148;5,18148;0;;7,7E-05;0,000609;0,000532
147;5,18148;;5,18148;5,181557;7,7E-05;;0,000609;-0,000686;-0,001295
148;5,181557;;5,181557;5,182243;0,000686;;-0,000686;0;0,000686
149;5,182243;;5,182243;5,182243;0;;0;4,8E-05;4,8E-05
150;5,182243;;5,182243;5,182243;0;;4,8E-05;0,016394;0,016346
151;5,182243;;5,182243;5,182291;4,8E-05;;0,016394;-0,016373;-0,032767
152;5,182291;;5,182291;5,198733;0,016442;;-0,016373;0,000582;0,016955
153;5,198733;;5,198733;5,198802;6,9E-05;;0,000582;-0,000651;-0,001233
154;5,198802;;5,198802;5,199453;0,000651;;-0,000651;0;0,000651
155;5,199453;;5,199453;5,199453;0;;0;4,1E-05;4,1E-05
156;5,199453;;5,199453;5,199453;0;;4,1E-05;0,064695;0,064654
157;5,199453;;5,199453;5,199494;4,1E-05;;0,064695;-0,064736;-0,129431
158;5,199494;;5,199494;5,26423;0,064736;;-0,064736;7E-05;0,064806
159;5,26423;;5,26423;5,26423;0;;7E-05;-4,2E-05;-0,000112
160;5,26423;;5,26423;5,2643;7E-05;;-4,2E-05;0,000116;0,000158
161;5,2643;;5,2643;5,264328;2,8E-05;;0,000116;0,016462;0,016346
162;5,264328;;5,264328;5,264472;0,000144;;0,016462;-0,015325;-0,031787
163;5,264472;;5,264472;5,281078;0,016606;;-0,015325;0,033173;0,048498
164;5,281078;;5,281078;5,282359;0,001281;;0,033173;-0,034393;-0,067566
165;5,282359;;5,282359;5,316813;0,034454;;-0,034393;-3,8E-05;0,034355
166;5,316813;;5,316813;5,316874;6,1E-05;;-3,8E-05;-2E-06;3,6E-05
167;5,316874;;5,316874;5,316897;2,3E-05;;-2E-06;0,015974;0,015976
168;5,316897;;5,316897;5,316918;2,1E-05;;0,015974;-0,015995;-0,031969
